Variable Name,Variable Description Old,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Variable Description New,Full Name,Year,Demo File Name
LBXVCF,Blood Chloroform (pg/mL),VOCMWB_E,Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood,2007,2008,Laboratory,None,Blood Chloroform (ng/mL),LBXVCF: Blood Chloroform (ng/mL),2007-2008,DEMO_E
LBXVCM,Blood Dibromochloromethane (pg/mL),VOCMWB_E,Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood,2007,2008,Laboratory,None,Blood Dibromochloromethane (ng/mL),LBXVCM: Blood Dibromochloromethane (ng/mL),2007-2008,DEMO_E
LBXVME,Blood MTBE (pg/mL),VOCMWB_E,Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood,2007,2008,Laboratory,None,Blood Methyl-tert-butyl ether (MTBE) (ng/mL),LBXVME: Blood Methyl-tert-butyl ether (MTBE) (ng/mL),2007-2008,DEMO_E
LBXIN,Insulin (uU/mL),INS_H,Insulin,2013,2014,Laboratory,None,Insulin (μU/mL),LBXIN: Insulin (μU/mL),2013-2014,DEMO_H
URXNO3,Urinary nitrate (ng/mL),PERNTS_H,"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample",2013,2014,Laboratory,None,"Nitrate, urine (ng/mL)","URXNO3: Nitrate, urine (ng/mL)",2013-2014,DEMO_H
URXSCN,Urinary thiocyanate (ng/mL),PERNTS_H,"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample",2013,2014,Laboratory,None,"Thiocyanate, urine (ng/mL)","URXSCN: Thiocyanate, urine (ng/mL)",2013-2014,DEMO_H
URXUCR,Urinary creatinine (mg/dL),PERNTS_H,"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample",2013,2014,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2013-2014,DEMO_H
URXUP8,Urinary perchlorate (ng/mL),PERNTS_H,"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample",2013,2014,Laboratory,None,"Perchlorate, urine (ng/mL)","URXUP8: Perchlorate, urine (ng/mL)",2013-2014,DEMO_H
LBXHP2C,Cobas HPV Swab High Risk,HPVSWR_H,Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array,2013,2014,Laboratory,None,Cobas HPV Swab High Risk,LBXHP2C: Cobas HPV Swab High Risk,2013-2014,DEMO_H
LBXHP2C,Cobas HPV Swab High Risk,HPVSWR_H,Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array,2013,2014,Laboratory,None,Cobas HPV Swab High Risk,LBXHP2C: Cobas HPV Swab High Risk,2013-2014,DEMO_H
URX14D,"2,5-dichlorophenol (ug/L)",EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,"2,5-dichlorophenol (ng/mL)","URX14D: 2,5-dichlorophenol (ng/mL)",2013-2014,DEMO_H
URXBP3,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3),URXBP3: Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3),2013-2014,DEMO_H
URXBPF,"Urinary 4,4' dihydroxydiphenylmethane",EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Urinary 4.4' dihydroxydiphenylmethane (Bisphenol F),URXBPF: Urinary 4.4' dihydroxydiphenylmethane (Bisphenol F),2013-2014,DEMO_H
URXBPH,Urinary Bisphenol A (ng/mL),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Urinary Bisphenol A (ng/mL),URXBPH: Urinary Bisphenol A (ng/mL),2013-2014,DEMO_H
URXBPS,"Urinary 4,4'sulfonyldiphenol",EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,"Urinary 4,4' Sulfonyldiphenol (Bisphenol S)","URXBPS: Urinary 4,4' Sulfonyldiphenol (Bisphenol S)",2013-2014,DEMO_H
URXBUP,Butyl paraben (ng/ml),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Butyl paraben (ng/mL),URXBUP: Butyl paraben (ng/mL),2013-2014,DEMO_H
URXDCB,"2,4-dichlorophenol (ug/L)",EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,"2,4-dichlorophenol (ng/mL)","URXDCB: 2,4-dichlorophenol (ng/mL)",2013-2014,DEMO_H
URXEPB,Ethyl paraben (ng/ml),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Ethyl paraben  (ng/mL),URXEPB: Ethyl paraben  (ng/mL),2013-2014,DEMO_H
URXMPB,Methyl paraben (ng/ml),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Methyl paraben (ng/mL),URXMPB: Methyl paraben (ng/mL),2013-2014,DEMO_H
URXPPB,Propyl paraben (ng/ml),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Propyl paraben (ng/mL),URXPPB: Propyl paraben (ng/mL),2013-2014,DEMO_H
URXTLC,Urinary Triclocarban (ng/mL),EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,Urinary Triclocarban (ng/mL),URXTLC: Urinary Triclocarban (ng/mL),2013-2014,DEMO_H
URXTRS,"Urinary  2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan)",EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,"Urinary 2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan)","URXTRS: Urinary 2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan)",2013-2014,DEMO_H
URXUCR,Urinary creatinine,EPHPP_H,Personal Care and Consumer Product Chemicals and Metabolites,2013,2014,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2013-2014,DEMO_H
LBXCOT,"Cotinine, Serum (ng/mL)",COT_H,Cotinine and Hydroxycotinine - Serum,2013,2014,Laboratory,None,"Cotinine, Serum (ng/mL)","LBXCOT: Cotinine, Serum (ng/mL)",2013-2014,DEMO_H
LBXHCT,"Hydroxycotinine, Serum (ng/mL)",COT_H,Cotinine and Hydroxycotinine - Serum,2013,2014,Laboratory,None,Hematocrit (%),LBXHCT: Hematocrit (%),2013-2014,DEMO_H
URXCNP,Mono(carboxynonyl) Phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono(carboxynonyl) Phthalate (ng/mL),URXCNP: Mono(carboxynonyl) Phthalate (ng/mL),2013-2014,DEMO_H
URXCOP,Mono(carboxyoctyl) Phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono(carboxyoctyl) Phthalate (ng/mL),URXCOP: Mono(carboxyoctyl) Phthalate (ng/mL),2013-2014,DEMO_H
URXECP,Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL),URXECP: Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL),2013-2014,DEMO_H
URXMBP,Mono-n-butyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-n-butyl phthalate (ng/mL),URXMBP: Mono-n-butyl phthalate (ng/mL),2013-2014,DEMO_H
URXMC1,Mono-(3-carboxypropyl) phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-(3-carboxypropyl) phthalate (ng/mL),URXMC1: Mono-(3-carboxypropyl) phthalate (ng/mL),2013-2014,DEMO_H
URXMEP,Mono-ethyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-ethyl phthalate (ng/mL),URXMEP: Mono-ethyl phthalate (ng/mL),2013-2014,DEMO_H
URXMHH,Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),URXMHH: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),2013-2014,DEMO_H
URXMHNC,"Cyclohexane 1,2-dicarboxylic acid monohydroxy isononyl ester  (ng/mL)",PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,"Cyclohexane 1,2-dicarboxylic acid monohydroxy isononyl ester  (ng/mL)","URXMHNC: Cyclohexane 1,2-dicarboxylic acid monohydroxy isononyl ester  (ng/mL)",2013-2014,DEMO_H
URXMHP,Mono-(2-ethyl)-hexyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-(2-ethyl)-hexyl phthalate (ng/mL),URXMHP: Mono-(2-ethyl)-hexyl phthalate (ng/mL),2013-2014,DEMO_H
URXMIB,Mono-isobutyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-isobutyl phthalate (ng/mL),URXMIB: Mono-isobutyl phthalate (ng/mL),2013-2014,DEMO_H
URXMNP,Mono-isononyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-isononyl phthalate (ng/mL),URXMNP: Mono-isononyl phthalate (ng/mL),2013-2014,DEMO_H
URXMOH,Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),URXMOH: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),2013-2014,DEMO_H
URXMZP,Mono-benzyl phthalate (ng/mL),PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,Mono-benzyl phthalate (ng/mL),URXMZP: Mono-benzyl phthalate (ng/mL),2013-2014,DEMO_H
URXUCR,"Creatinine, urine (mg/dL)",PHTHTE_H,Phthalates and Plasticizers Metabolites - Urine,2013,2014,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2013-2014,DEMO_H
URXCRS,"Creatinine, urine (umol/L)",ALB_CR_H,Albumin & Creatinine - Urine,2013,2014,Laboratory,None,"Creatinine, urine (umol/L)","URXCRS: Creatinine, urine (umol/L)",2013-2014,DEMO_H
URXUCR,"Creatinine, urine (mg/dL)",ALB_CR_H,Albumin & Creatinine - Urine,2013,2014,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2013-2014,DEMO_H
URXUMA,"Albumin, urine (ug/mL)",ALB_CR_H,Albumin & Creatinine - Urine,2013,2014,Laboratory,None,"Albumin, urine (ug/mL)","URXUMA: Albumin, urine (ug/mL)",2013-2014,DEMO_H
URXUMS,"Albumin, urine (mg/L)",ALB_CR_H,Albumin & Creatinine - Urine,2013,2014,Laboratory,None,"Albumin, urine (mg/L)","URXUMS: Albumin, urine (mg/L)",2013-2014,DEMO_H
LBXWBF,Water Bromoform (ng/mL),VOC_F,Volatile Organic Compounds (VOCs) - Water,2009,2010,Laboratory,None,Water Bromoform (ng/mL),LBXWBF: Water Bromoform (ng/mL),2009-2010,DEMO_F
LBXWBM,Water Bromodichloromethane (ng/mL),VOC_F,Volatile Organic Compounds (VOCs) - Water,2009,2010,Laboratory,None,Water Bromodichloromethane (ng/mL),LBXWBM: Water Bromodichloromethane (ng/mL),2009-2010,DEMO_F
LBXWCF,Water Chloroform (ng/mL),VOC_F,Volatile Organic Compounds (VOCs) - Water,2009,2010,Laboratory,None,Water Chloroform (ng/mL),LBXWCF: Water Chloroform (ng/mL),2009-2010,DEMO_F
LBXWCM,Water Dibromochloromethane (ng/mL),VOC_F,Volatile Organic Compounds (VOCs) - Water,2009,2010,Laboratory,None,Water Dibromochloromethane (ng/mL),LBXWCM: Water Dibromochloromethane (ng/mL),2009-2010,DEMO_F
LBXWME,Water Methyl-tert-butyl ether (MTBE) (ng/mL),VOC_F,Volatile Organic Compounds (VOCs) - Water,2009,2010,Laboratory,None,Water Methyl-tert-butyl ether (MTBE) (ng/mL),LBXWME: Water Methyl-tert-butyl ether (MTBE) (ng/mL),2009-2010,DEMO_F
LBX2DF,"Blood 2,5-Dimethylfuran (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 2,5-Dimethylfuran (ng/mL)","LBX2DF: Blood 2,5-Dimethylfuran (ng/mL)",2011-2012,DEMO_G
LBX4CE,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)","LBX4CE: Blood 1,1,1,2-Tetrachloroethane (ng/mL)",2011-2012,DEMO_G
LBXV06,Blood Hexane (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Hexane (ng/mL),LBXV06: Blood Hexane (ng/mL),2011-2012,DEMO_G
LBXV1A,"Blood 1,1-Dichloroethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1-Dichloroethane (ng/mL)","LBXV1A: Blood 1,1-Dichloroethane (ng/mL)",2011-2012,DEMO_G
LBXV1D,"Blood 1,2-Dichlorobenzene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,2-Dichlorobenzene (ng/mL)","LBXV1D: Blood 1,2-Dichlorobenzene (ng/mL)",2011-2012,DEMO_G
LBXV1E,"Blood 1,1-Dichloroethene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1-Dichloroethene (ng/mL)","LBXV1E: Blood 1,1-Dichloroethene (ng/mL)",2011-2012,DEMO_G
LBXV2A,"Blood 1,2-Dichloroethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,2-Dichloroethane (ng/mL)","LBXV2A: Blood 1,2-Dichloroethane (ng/mL)",2011-2012,DEMO_G
LBXV2C,"Blood cis-1,2-Dichloroethene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood cis-1,2-Dichloroethene (ng/mL)","LBXV2C: Blood cis-1,2-Dichloroethene (ng/mL)",2011-2012,DEMO_G
LBXV2E,"Blood 1,1,2-Trichloroethene(ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1,2-Trichloroethene(ng/mL)","LBXV2E: Blood 1,1,2-Trichloroethene(ng/mL)",2011-2012,DEMO_G
LBXV2T,"Blood trans-1,2-Dichloroethene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood trans-1,2-Dichloroethene (ng/mL)","LBXV2T: Blood trans-1,2-Dichloroethene (ng/mL)",2011-2012,DEMO_G
LBXV3B,"Blood 1,3-Dichlorobenzene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,3-Dichlorobenzene (ng/mL)","LBXV3B: Blood 1,3-Dichlorobenzene (ng/mL)",2011-2012,DEMO_G
LBXV4C,Blood Tetrachloroethene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Tetrachloroethene (ng/mL),LBXV4C: Blood Tetrachloroethene (ng/mL),2011-2012,DEMO_G
LBXV4E,"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1,2,2-Tetrachloroethane (ng/mL)","LBXV4E: Blood 1,1,2,2-Tetrachloroethane (ng/mL)",2011-2012,DEMO_G
LBXVBZ,Blood Benzene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Benzene (ng/mL),LBXVBZ: Blood Benzene (ng/mL),2011-2012,DEMO_G
LBXVCB,Blood Chlorobenzene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Chlorobenzene (ng/mL),LBXVCB: Blood Chlorobenzene (ng/mL),2011-2012,DEMO_G
LBXVCT,Blood Carbon Tetrachloride (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Carbon Tetrachloride (ng/mL),LBXVCT: Blood Carbon Tetrachloride (ng/mL),2011-2012,DEMO_G
LBXVDB,"Blood 1,4-Dichlorobenzene (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,4-Dichlorobenzene (ng/mL)","LBXVDB: Blood 1,4-Dichlorobenzene (ng/mL)",2011-2012,DEMO_G
LBXVDE,"Blood 1,2-Dibromoethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,2-Dibromoethane (ng/mL)","LBXVDE: Blood 1,2-Dibromoethane (ng/mL)",2011-2012,DEMO_G
LBXVDM,Blood Dibromomethane (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Dibromomethane (ng/mL),LBXVDM: Blood Dibromomethane (ng/mL),2011-2012,DEMO_G
LBXVDP,"Blood 1,2-Dichloropropane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,2-Dichloropropane (ng/mL)","LBXVDP: Blood 1,2-Dichloropropane (ng/mL)",2011-2012,DEMO_G
LBXVDX,"Blood 1,4-Dioxane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,4-Dioxane (ng/mL)","LBXVDX: Blood 1,4-Dioxane (ng/mL)",2011-2012,DEMO_G
LBXVDX,"Blood 1,4-Dioxane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,4-Dioxane (ng/mL)","LBXVDX: Blood 1,4-Dioxane (ng/mL)",2011-2012,DEMO_G
LBXVEB,Blood Ethylbenzene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Ethylbenzene (ng/mL),LBXVEB: Blood Ethylbenzene (ng/mL),2011-2012,DEMO_G
LBXVFN,Blood Furan (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Furan (ng/mL),LBXVFN: Blood Furan (ng/mL),2011-2012,DEMO_G
LBXVHE,Blood Hexachloroethane (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Hexachloroethane (ng/mL),LBXVHE: Blood Hexachloroethane (ng/mL),2011-2012,DEMO_G
LBXVIPB,Blood Isopropylbenzene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Isopropylbenzene (ng/mL),LBXVIPB: Blood Isopropylbenzene (ng/mL),2011-2012,DEMO_G
LBXVMC,Blood Methylene Chloride (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Methylene Chloride (ng/mL),LBXVMC: Blood Methylene Chloride (ng/mL),2011-2012,DEMO_G
LBXVNB,Blood Nitrobenzene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Nitrobenzene (ng/mL),LBXVNB: Blood Nitrobenzene (ng/mL),2011-2012,DEMO_G
LBXVOX,Blood o-Xylene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood o-Xylene (ng/mL),LBXVOX: Blood o-Xylene (ng/mL),2011-2012,DEMO_G
LBXVTC,Blood Trichloroethene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood Trichloroethene (ng/mL),LBXVTC: Blood Trichloroethene (ng/mL),2011-2012,DEMO_G
LBXVTE,"Blood 1,1,1-Trichloroethane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,1,1-Trichloroethane (ng/mL)","LBXVTE: Blood 1,1,1-Trichloroethane (ng/mL)",2011-2012,DEMO_G
LBXVTP,"Blood 1,2,3-Trichloropropane (ng/mL)",VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,"Blood 1,2,3-Trichloropropane (ng/mL)","LBXVTP: Blood 1,2,3-Trichloropropane (ng/mL)",2011-2012,DEMO_G
LBXVXY,Blood m-/p-Xylene (ng/mL),VOCWB_G,Volatile Organic Compounds (VOCs) - Blood,2011,2012,Laboratory,None,Blood m-/p-Xylene (ng/mL),LBXVXY: Blood m-/p-Xylene (ng/mL),2011-2012,DEMO_G
LBX2DF,"Blood 2,5-Dimethylfuran (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 2,5-Dimethylfuran (ng/mL)","LBX2DF: Blood 2,5-Dimethylfuran (ng/mL)",2013-2014,DEMO_H
LBX4CE,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)","LBX4CE: Blood 1,1,1,2-Tetrachloroethane (ng/mL)",2013-2014,DEMO_H
LBXV06,Blood Hexane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Hexane (ng/mL),LBXV06: Blood Hexane (ng/mL),2013-2014,DEMO_H
LBXV07N,Blood Heptane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Heptane (ng/mL),LBXV07N: Blood Heptane (ng/mL),2013-2014,DEMO_H
LBXV08N,Blood Octane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Octane (ng/mL),LBXV08N: Blood Octane (ng/mL),2013-2014,DEMO_H
LBXV1D,"Blood 1,2-Dichlorobenzene (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,2-Dichlorobenzene (ng/mL)","LBXV1D: Blood 1,2-Dichlorobenzene (ng/mL)",2013-2014,DEMO_H
LBXV2A,"Blood 1,2-Dichloroethane (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,2-Dichloroethane (ng/mL)","LBXV2A: Blood 1,2-Dichloroethane (ng/mL)",2013-2014,DEMO_H
LBXV3B,"Blood 1,3-Dichlorobenzene (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,3-Dichlorobenzene (ng/mL)","LBXV3B: Blood 1,3-Dichlorobenzene (ng/mL)",2013-2014,DEMO_H
LBXV4C,Blood Tetrachloroethene (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Tetrachloroethene (ng/mL),LBXV4C: Blood Tetrachloroethene (ng/mL),2013-2014,DEMO_H
LBXVBF,Blood Bromoform (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Bromoform (ng/mL),LBXVBF: Blood Bromoform (ng/mL),2013-2014,DEMO_H
LBXVBM,Blood Bromodichloromethane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Bromodichloromethane (ng/mL),LBXVBM: Blood Bromodichloromethane (ng/mL),2013-2014,DEMO_H
LBXVBZ,Blood Benzene (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Benzene (ng/mL),LBXVBZ: Blood Benzene (ng/mL),2013-2014,DEMO_H
LBXVC6,Blood Cyclohexane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Cyclohexane (ng/mL),LBXVC6: Blood Cyclohexane (ng/mL),2013-2014,DEMO_H
LBXVCB,Blood Chlorobenzene (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Chlorobenzene (ng/mL),LBXVCB: Blood Chlorobenzene (ng/mL),2013-2014,DEMO_H
LBXVCF,Blood Chloroform (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Chloroform (ng/mL),LBXVCF: Blood Chloroform (ng/mL),2013-2014,DEMO_H
LBXVCM,Blood Dibromochloromethane (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Dibromochloromethane (ng/mL),LBXVCM: Blood Dibromochloromethane (ng/mL),2013-2014,DEMO_H
LBXVCT,Blood Carbon Tetrachloride (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Carbon Tetrachloride (ng/mL),LBXVCT: Blood Carbon Tetrachloride (ng/mL),2013-2014,DEMO_H
LBXVDB,"Blood 1,4-Dichlorobenzene (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,4-Dichlorobenzene (ng/mL)","LBXVDB: Blood 1,4-Dichlorobenzene (ng/mL)",2013-2014,DEMO_H
LBXVDE,"Blood 1,2-Dibromoethane (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,2-Dibromoethane (ng/mL)","LBXVDE: Blood 1,2-Dibromoethane (ng/mL)",2013-2014,DEMO_H
LBXVDEE,Blood Diethyl Ether (ng/mL),VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,Blood Diethyl Ether (ng/mL),LBXVDEE: Blood Diethyl Ether (ng/mL),2013-2014,DEMO_H
LBXVDX,"Blood 1,4-Dioxane (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,4-Dioxane (ng/mL)","LBXVDX: Blood 1,4-Dioxane (ng/mL)",2013-2014,DEMO_H
LBXVDX,"Blood 1,4-Dioxane (ng/mL)",VOCWB_H,Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,2013,2014,Laboratory,None,"Blood 1,4-Dioxane (ng/mL)","LBXVDX: Blood 1,4-Dioxane (ng/mL)",2013-2014,DEMO_H
